MkmProductId;Name;ExpansionName;rarity;Count;Language;Condition;IsFoil;IsSigned;IsAltered;Price
360072;Sarkhan, Fireblood;Core 2019;Mythic;2;1;6;0;0;0;11.28
497930;Emrakul, the Aeons Torn;The List;Mythic;1;1;6;0;0;0;22.45
482749;Sword of War and Peace;Double Masters;Mythic;1;1;6;1;0;0;11.86
295879;Blood Moon;Modern Masters 2017;Rare;1;1;6;0;0;0;11.06
498690;Scroll Rack;The List;Rare;1;1;6;0;0;0;21.41
567143;Shalai, Voice of Plenty;Secret Lair Drop Series;Rare;4;1;6;0;0;0;15.00
567140;Ponder;Secret Lair Drop Series;Rare;5;1;6;0;0;0;16.98
5622;Birds of Paradise;Revised;Rare;1;1;4;0;0;0;19.80
242650;Blackcleave Cliffs;Scars of Mirrodin;Rare;1;2;4;1;0;0;30.70
242650;Blackcleave Cliffs;Scars of Mirrodin;Rare;1;1;4;1;0;0;32.21
262064;Blood Moon;Modern Masters;Rare;1;1;6;0;0;0;11.07
5578;Braingeyser;Revised;Rare;2;1;4;0;0;0;15.03
254220;Griselbrand;Avacyn Restored;Mythic;2;1;5;0;0;0;12.52
461309;Ketria Triome (V.1);Ikoria: Lair of Behemoths: Promos;Rare;1;2;6;0;0;0;12.75
21726;Misty Rainforest;Zendikar;Rare;1;1;6;0;0;0;23.13
262380;Mutavault;Magic 2014;Rare;1;2;5;0;0;0;11.28
270682;Sylvan Safekeeper;Commander 2014;Rare;1;2;1;0;0;0;13.99
7390;Tormod's Crypt;The Dark;Uncommon;1;1;4;0;0;0;12.86
21768;Valakut, the Molten Pinnacle;Zendikar;Rare;1;2;5;0;0;0;13.50
575347;Gamble;Secret Lair Drop Series: Dr. Lair's Secretorium Superdrop;Rare;4;1;6;0;0;0;13.84
7395;Maze of Ith;The Dark;Uncommon;1;1;3;0;0;0;29.40
575348;Nature's Lore;Secret Lair Drop Series: Dr. Lair's Secretorium Superdrop;Rare;4;1;6;0;0;0;27.10
564641;Arid Mesa;Modern Horizons 2;Rare;1;2;6;0;0;0;13.69
287044;Kalitas, Traitor of Ghet;Oath of the Gatewatch;Mythic;1;1;5;0;0;0;10.37
430974;Uro, Titan of Nature's Wrath;Theros Beyond Death: Extras;Mythic;1;1;6;0;0;0;26.83
382365;Chandra, Awakened Inferno (V.2);Core 2020: Extras;Mythic;1;1;5;1;0;0;30.00
605057;Sliver Hivelord;Secret Lair Drop Series: Out of Time Superdrop;Mythic;3;1;6;1;0;0;24.29
605054;Sphere of Safety;Secret Lair Drop Series: Out of Time Superdrop;Rare;3;1;6;1;0;0;50.00
605053;Carpet of Flowers;Secret Lair Drop Series: Out of Time Superdrop;Rare;2;1;6;1;0;0;59.99
581196;Impact Tremors;Secret Lair Drop Series: All-Natural, Totally Refreshing Superdrop;Rare;2;1;6;1;0;0;14.00
659243;Grand Crescendo;Commander: Streets of New Capenna: Promos;Rare;1;1;6;1;0;0;27.49
7359;Dust to Dust;The Dark;Common;1;1;4;0;0;0;13.62
605051;Teferi, Time Raveler;Secret Lair Drop Series: Out of Time Superdrop;Rare;3;1;6;0;0;0;24.73
315630;Angrath, the Flame-Chained;Rivals of Ixalan: Promos;Mythic;1;1;1;1;0;0;11.41
302093;Vraska, Relic Seeker;Ixalan: Promos;Mythic;1;1;6;1;0;0;12.49
13333;Cloudstone Curio;Ravnica: City of Guilds;Rare;1;2;5;0;0;0;15.42
301440;Flusterstorm;Iconic Masters;Rare;1;1;6;0;0;0;20.22
551;Night's Whisper;Fifth Dawn;Uncommon;1;2;4;1;0;0;15.83
19294;Sunken Ruins;Shadowmoor;Rare;1;6;4;0;0;0;16.00
375375;Echo of Eons;Modern Horizons;Mythic;1;1;5;0;0;0;14.32
378693;Sorin, Imperious Bloodlord;Core 2020;Mythic;3;1;5;0;0;0;16.37
494594;Omnath, Locus of Creation;Zendikar Rising: Extras;Mythic;1;1;6;0;0;0;16.45
664067;Phyrexian Altar;Double Masters 2022;Rare;1;7;6;0;0;0;22.26
664853;Emrakul, the Aeons Torn;Double Masters 2022;Mythic;1;7;6;0;0;0;19.45
664049;Bloom Tender;Double Masters 2022;Rare;1;7;6;0;0;0;10.61
653181;Unlicensed Hearse (V.1);Streets of New Capenna: Promos;Rare;1;1;5;1;0;0;19.12
575350;Wrath of God;Secret Lair Drop Series: Dr. Lair's Secretorium Superdrop;Rare;4;1;6;0;0;0;11.96
19045;Cerulean Wisps;Shadowmoor;Common;1;2;6;1;0;0;10.93
259294;Sylvan Library;Commander's Arsenal;Rare;1;1;6;1;0;0;36.65
256754;Command Tower;Judge Rewards Promos;Rare;1;1;6;1;0;0;46.50
298567;Capsize;Amonkhet Invocations;Masterpiece;4;1;6;1;0;0;41.00
242650;Blackcleave Cliffs;Scars of Mirrodin;Rare;1;1;5;1;0;0;34.01
296604;Chain Lightning;Amonkhet Invocations;Masterpiece;3;1;6;1;0;0;34.95
15072;Bitter Ordeal;Future Sight;Rare;1;2;5;1;0;0;294.00
483184;Noble Hierarch;Double Masters: Extras;Rare;1;1;6;1;0;0;20.38
282324;Tarmogoyf;Modern Masters 2015;Mythic;1;7;6;0;0;0;14.78
12657;Enduring Ideal;Saviors of Kamigawa;Rare;1;2;6;1;0;0;29.99
264080;Erebos, God of the Dead;Theros;Mythic;1;5;6;1;0;0;18.95
510740;Arcane Signet;Commander Legends: Extras;Uncommon;1;2;6;1;0;0;17.84
21744;Arid Mesa;Zendikar;Rare;1;6;5;0;0;0;14.47
265553;Ephara, God of the Polis;Born of the Gods;Mythic;1;2;5;1;0;0;14.80
265553;Ephara, God of the Polis;Born of the Gods;Mythic;2;2;6;1;0;0;14.94
285064;Drana, Liberator of Malakir;Battle for Zendikar: Promos;Mythic;1;7;6;1;0;0;19.99
451898;Fiend Artisan;Ikoria: Lair of Behemoths;Mythic;3;1;6;1;0;0;19.99
14215;Braids, Conjurer Adept;Planar Chaos;Rare;1;5;6;1;0;0;23.50
292942;Botanical Sanctum;Kaladesh: Promos;Rare;1;2;6;1;0;0;19.50
1939;Dream Chisel;Onslaught;Rare;1;2;6;1;0;0;29.90
1939;Dream Chisel;Onslaught;Rare;1;8;6;1;0;0;29.90
10584;Aura Flux;Urza's Legacy;Common;2;1;6;1;0;0;14.93
256996;Akroma's Memorial;Magic 2013;Mythic;1;2;4;0;0;0;14.99
20779;Font of Mythos;Conflux;Rare;1;4;5;1;0;0;25.99
15161;Dakmor Salvage;Future Sight;Uncommon;4;5;6;1;0;0;10.98
15161;Dakmor Salvage;Future Sight;Uncommon;1;2;6;1;0;0;10.98
259847;Crypt Ghast;Gatecrash;Rare;1;4;6;1;0;0;69.95
258509;Deathrite Shaman;Return to Ravnica;Rare;1;4;6;1;0;0;24.99
366218;Creeping Tar Pit;Ultimate Box Toppers;Mythic;1;1;6;1;0;0;11.95
292548;Aetherflux Reservoir;Kaladesh;Rare;1;2;6;1;0;0;13.00
292934;Aetherflux Reservoir;Kaladesh: Promos;Rare;1;4;6;1;0;0;24.99
292934;Aetherflux Reservoir;Kaladesh: Promos;Rare;4;5;6;1;0;0;24.99
5727;Crusade;Revised;Rare;1;1;3;0;0;0;11.37
289200;Cryptolith Rite;Shadows over Innistrad;Rare;1;6;6;1;0;0;15.03
22520;Deprive;Rise of the Eldrazi;Common;2;7;6;1;0;0;17.95
15808;Capsize;Friday Night Magic Promos;Rare;1;1;6;1;0;0;34.24
264022;Chained to the Rocks;Theros;Rare;1;3;6;1;0;0;18.00
12967;Blood Crypt;Dissension;Rare;1;2;3;0;0;0;17.98
301591;Bloodghast;Iconic Masters;Rare;2;7;6;1;0;0;20.00
319030;Vendilion Clique;Masters 25;Mythic;1;1;6;1;0;0;12.99
283452;Alhammarret's Archive;Magic Origins;Mythic;4;2;6;1;0;0;28.44
13764;Angel's Grace;Time Spiral;Rare;1;5;5;1;0;0;17.00
292548;Aetherflux Reservoir;Kaladesh;Rare;1;4;6;1;0;0;13.00
292548;Aetherflux Reservoir;Kaladesh;Rare;4;5;6;1;0;0;13.00
9035;Static Orb;Tempest;Rare;1;2;5;0;0;0;11.94
12086;Kitsune Mystic;Champions of Kamigawa;Rare;1;2;5;1;0;0;12.02
15000;Intervention Pact;Future Sight;Rare;1;4;5;1;0;0;99.94
15000;Intervention Pact;Future Sight;Rare;2;4;6;1;0;0;99.94
15000;Intervention Pact;Future Sight;Rare;1;3;5;1;0;0;99.94
15000;Intervention Pact;Future Sight;Rare;2;2;5;1;0;0;99.94
15000;Intervention Pact;Future Sight;Rare;2;1;3;1;0;0;12.49
254240;Ghostly Flicker;Avacyn Restored;Common;1;2;6;1;0;0;20.00
6917;Gate to Phyrexia;Antiquities;Uncommon;1;1;3;0;0;0;46.14
266596;Keranos, God of Storms;Journey into Nyx;Mythic;3;1;6;1;0;0;22.00
498295;Land Tax;The List;Mythic;1;1;6;0;0;0;23.99
290224;Green Sun's Zenith;Eternal Masters;Rare;1;1;4;1;0;0;17.03
258230;Hallowed Fountain;Return to Ravnica;Rare;1;2;6;1;0;0;28.90
292465;Inventors' Fair;Kaladesh;Rare;2;6;6;1;0;0;19.99
242027;Leyline of Sanctity;Magic 2011;Rare;1;2;6;1;0;0;23.90
7194;Gauntlets of Chaos;Legends;Rare;2;1;6;0;0;0;24.00
13011;Hallowed Fountain;Dissension;Rare;1;2;2;0;0;0;13.47
267746;Garruk, Apex Predator;Magic 2015;Mythic;1;1;6;1;0;0;20.13
285061;Gideon, Ally of Zendikar;Battle for Zendikar: Promos;Mythic;1;7;6;1;0;0;14.99
298738;Gaddock Teeg;Judge Rewards Promos;Rare;1;1;5;1;0;0;14.83
21797;Lightning Bolt (V.2);Player Rewards Promos;Rare;2;1;5;1;0;0;15.89
21797;Lightning Bolt (V.2);Player Rewards Promos;Rare;1;1;3;1;0;0;14.48
7194;Gauntlets of Chaos;Legends;Rare;1;1;4;0;0;0;13.79
5135;Jade Monolith;Unlimited;Rare;1;1;2;0;0;0;15.84
566456;Ignoble Hierarch (V.2);Modern Horizons 2: Extras;Rare;1;1;6;1;0;0;11.42
290321;Heritage Druid;Eternal Masters;Rare;1;1;6;1;0;0;10.04
20674;Master Transmuter;Conflux;Rare;1;5;6;1;0;0;11.65
262284;Jace, Memory Adept;Magic 2014;Mythic;1;1;6;1;0;0;11.00
21192;Lightning Bolt;Magic 2010;Common;1;1;6;1;0;0;12.00
241866;Lightning Bolt;Magic 2011;Common;1;1;6;1;0;0;14.06
301226;Gishath, Sun's Avatar;Ixalan;Mythic;1;9;6;0;0;0;28.67
19922;Godsire;Shards of Alara;Mythic;3;1;3;1;0;0;11.79
283342;Kytheon, Hero of Akros // Gideon, Battle-Forged;Magic Origins;Mythic;1;1;6;1;0;0;22.00
283553;Hangarback Walker;Magic Origins;Rare;1;7;5;1;0;0;16.00
295067;Gonti's Aether Heart;Aether Revolt: Promos;Mythic;1;1;6;1;0;0;17.50
22196;Kazuul, Tyrant of the Cliffs;Worldwake;Rare;1;2;6;1;0;0;19.99
269675;Hardened Scales;Khans of Tarkir: Promos;Rare;1;6;6;1;0;0;13.49
242617;Myr Reservoir;Scars of Mirrodin;Rare;1;1;6;1;0;0;11.00
15170;Nimbus Maze;Future Sight;Rare;1;1;4;1;0;0;42.70
6998;Mold Demon;Legends;Rare;4;1;4;0;0;0;29.93
6998;Mold Demon;Legends;Rare;3;1;3;0;0;0;28.81
2670;Nimble Mongoose;Odyssey;Uncommon;1;1;5;1;0;0;29.90
265594;Mogis, God of Slaughter;Born of the Gods;Mythic;3;1;6;1;0;0;24.99
299013;Neheb, the Eternal;Hour of Devastation: Promos;Mythic;1;4;6;1;0;0;34.00
265594;Mogis, God of Slaughter;Born of the Gods;Mythic;1;2;6;1;0;0;24.99
492074;Rejuvenating Springs;Commander Legends: Extras;Rare;1;2;6;1;0;0;39.99
21726;Misty Rainforest;Zendikar;Rare;1;6;3;0;0;0;19.00
9033;Scroll Rack;Tempest;Rare;1;2;4;0;0;0;19.40
13068;Rakdos the Defiler;Dissension;Rare;1;3;5;1;0;0;35.79
5208;Plains (V.3);Beta;Land;1;1;1;0;0;0;16.13
252520;Mikaeus, the Unhallowed;Dark Ascension;Mythic;1;9;6;0;0;0;16.47
247992;Ponder;Magic 2012;Common;1;2;6;1;0;0;24.99
8465;Natural Order;Visions;Rare;1;3;4;0;0;0;19.95
372239;Nicol Bolas, Dragon-God;War of the Spark;Mythic;1;1;6;1;0;0;23.39
319288;Rest in Peace;Masters 25;Rare;1;1;6;1;0;0;16.22
242681;Nim Deathmantle;Scars of Mirrodin;Rare;2;2;6;1;0;0;11.00
295065;Paradox Engine;Aether Revolt: Promos;Mythic;2;1;6;1;0;0;18.99
18851;Reveillark;Morningtide;Rare;1;2;6;1;0;0;38.00
482829;Noble Hierarch;Double Masters;Rare;1;1;6;0;0;0;10.78
14899;Plains;Unhinged;Land;3;1;5;1;0;0;14.02
264056;Nylea, God of the Hunt;Theros;Mythic;2;5;6;1;0;0;11.99
448;Reshape;Darksteel;Rare;1;2;3;1;0;0;12.38
20730;Noble Hierarch;Conflux;Rare;2;1;5;0;0;0;10.31
266635;Pharika, God of Affliction;Journey into Nyx;Mythic;1;1;6;1;0;0;10.49
219;Nightmare Lash;Mirrodin;Rare;1;2;5;1;0;0;22.00
12718;Miren, the Moaning Well;Saviors of Kamigawa;Rare;1;2;6;0;0;0;13.99
11759;Pale Moon;Nemesis;Rare;1;2;4;1;0;0;15.99
19228;Rosheen Meanderer;Shadowmoor;Rare;1;2;6;1;0;0;15.40
267515;Soul of New Phyrexia;Magic 2015;Mythic;1;1;5;1;0;0;10.76
12223;Time of Need;Champions of Kamigawa;Uncommon;1;5;6;1;0;0;13.20
242845;Tainted Strike;Scars of Mirrodin;Common;1;2;6;1;0;0;25.00
7210;Sentinel;Legends;Rare;1;1;4;0;1;0;15.46
